Team__1,Seed__1,Score__1,Rk_AdjEM__1,Conf__1,W-L__1,Wins__1,Losses__1,WinPct__1,AdjEM__1,AdjO__1,Rk_AdjO__1,AdjD__1,Rk_AdjD__1,AdjT__1,Rk_AdjT__1,Luck__1,Rk_Luck__1,SOS_AdjEM__1,Rk_SOS_AdjEM__1,SOS_AdjO__1,Rk_SOS_AdjO__1,SOS_AdjD__1,Rk_SOS_AdjD__1,NCSOS_AdjEM__1,Rk_NCSOS_AdjEM__1,Team__2,Seed__2,Score__2,Rk_AdjEM__2,Conf__2,W-L__2,Wins__2,Losses__2,WinPct__2,AdjEM__2,AdjO__2,Rk_AdjO__2,AdjD__2,Rk_AdjD__2,AdjT__2,Rk_AdjT__2,Luck__2,Rk_Luck__2,SOS_AdjEM__2,Rk_SOS_AdjEM__2,SOS_AdjO__2,Rk_SOS_AdjO__2,SOS_AdjD__2,Rk_SOS_AdjD__2,NCSOS_AdjEM__2,Rk_NCSOS_AdjEM__2,Winning_Team,Win__1,Year,Round
Michigan State,1,89.0,3,B10,27-7,27,7,0.7941176470588235,31.7,116.6,10,84.9,3,65.6,197,-0.037,255,11.2,2,107.4,6,96.2,3,,185,Long Island,16,67.0,62,NEC,25-8,25,8,0.7575757575757576,-0.2,106.9,80,107.1,271,74.5,2,0.106,7,-6.0,61,97.7,310,103.7,283,,226,Michigan State,True,2012,1
Michigan State,1,65.0,3,B10,27-7,27,7,0.7941176470588235,31.7,116.6,10,84.9,3,65.6,197,-0.037,255,11.2,2,107.4,6,96.2,3,,185,Saint Louis,9,61.0,18,A10,25-7,25,7,0.78125,21.8,110.4,38,88.6,10,62.8,303,-0.051,286,3.3,41,102.8,98,99.5,100,,229,Michigan State,True,2012,2
Michigan State,1,44.0,3,B10,27-7,27,7,0.7941176470588235,31.7,116.6,10,84.9,3,65.6,197,-0.037,255,11.2,2,107.4,6,96.2,3,,185,Louisville,4,57.0,25,BE,26-9,26,9,0.7428571428571429,19.0,103.7,123,84.7,2,67.7,99,0.021,120,8.8,13,106.1,15,97.3,19,,151,Louisville,False,2012,3
Memphis,8,54.0,11,CUSA,26-8,26,8,0.7647058823529411,25.6,114.2,19,88.6,11,68.3,69,-0.056,300,5.3,31,103.4,69,98.1,48,,23,Saint Louis,9,61.0,18,A10,25-7,25,7,0.78125,21.8,110.4,38,88.6,10,62.8,303,-0.051,286,3.3,41,102.8,98,99.5,100,,229,Saint Louis,False,2012,1
New Mexico,5,75.0,13,MWC,27-6,27,6,0.8181818181818182,22.4,111.0,33,88.6,13,66.7,137,0.012,144,2.0,43,102.0,129,100.0,123,,298,Long Beach State,12,68.0,36,BW,25-8,25,8,0.7575757575757576,15.5,108.8,58,93.3,39,67.3,113,-0.038,259,1.0,44,102.4,111,101.4,164,,2,New Mexico,True,2012,1
New Mexico,5,56.0,13,MWC,27-6,27,6,0.8181818181818182,22.4,111.0,33,88.6,13,66.7,137,0.012,144,2.0,43,102.0,129,100.0,123,,298,Louisville,4,59.0,25,BE,26-9,26,9,0.7428571428571429,19.0,103.7,123,84.7,2,67.7,99,0.021,120,8.8,13,106.1,15,97.3,19,,151,Louisville,False,2012,2
Louisville,4,69.0,25,BE,26-9,26,9,0.7428571428571429,19.0,103.7,123,84.7,2,67.7,99,0.021,120,8.8,13,106.1,15,97.3,19,,151,Davidson,13,62.0,51,SC,25-7,25,7,0.78125,11.7,110.4,37,98.7,123,68.1,80,0.019,123,-2.6,56,100.2,210,102.8,230,,9,Louisville,True,2012,1
Louisville,4,72.0,25,BE,26-9,26,9,0.7428571428571429,19.0,103.7,123,84.7,2,67.7,99,0.021,120,8.8,13,106.1,15,97.3,19,,151,Florida,7,68.0,15,SEC,23-10,23,10,0.696969696969697,22.3,120.8,2,98.5,121,64.9,234,-0.035,252,7.4,23,104.0,62,96.6,8,,160,Louisville,True,2012,4
Murray State,6,58.0,43,OVC,30-1,30,1,0.967741935483871,13.5,107.7,67,94.2,52,66.0,171,0.039,80,-4.1,58,100.1,215,104.2,299,,59,Colorado State,11,41.0,54,MWC,20-11,20,11,0.6451612903225806,10.2,111.8,29,101.6,176,64.7,246,0.077,19,5.1,33,103.3,72,98.2,52,,127,Murray State,True,2012,1
Murray State,6,53.0,43,OVC,30-1,30,1,0.967741935483871,13.5,107.7,67,94.2,52,66.0,171,0.039,80,-4.1,58,100.1,215,104.2,299,,59,Marquette,3,62.0,19,BE,25-7,25,7,0.78125,21.2,112.2,27,91.0,20,71.4,15,0.048,63,8.1,18,104.6,45,96.5,6,,182,Marquette,False,2012,2
Marquette,3,88.0,19,BE,25-7,25,7,0.78125,21.2,112.2,27,91.0,20,71.4,15,0.048,63,8.1,18,104.6,45,96.5,6,,182,BYU,14,68.0,45,WCC,26-8,26,8,0.7647058823529411,13.3,104.6,109,91.3,21,73.4,5,0.021,119,0.1,46,102.8,95,102.7,221,,166,Marquette,True,2012,1
Marquette,3,58.0,19,BE,25-7,25,7,0.78125,21.2,112.2,27,91.0,20,71.4,15,0.048,63,8.1,18,104.6,45,96.5,6,,182,Florida,7,68.0,15,SEC,23-10,23,10,0.696969696969697,22.3,120.8,2,98.5,121,64.9,234,-0.035,252,7.4,23,104.0,62,96.6,8,,160,Florida,False,2012,3
Florida,7,71.0,15,SEC,23-10,23,10,0.696969696969697,22.3,120.8,2,98.5,121,64.9,234,-0.035,252,7.4,23,104.0,62,96.6,8,,160,Virginia,10,45.0,28,ACC,22-9,22,9,0.7096774193548387,17.8,104.8,104,87.0,5,60.4,339,-0.044,268,3.7,38,102.8,96,99.1,87,,311,Florida,True,2012,1
